repository,package,total_commits,total_added,total_removed,total_churn,total_files,avg_churn_per_commit
camel,org.apache.camel.component.langchain.embeddings,7,1184,111,1295,30,185.0
camel,org.apache.camel.component.disruptor.vm.springboot,37,645,645,1290,6,34.86486486486486
camel,org.apache.camel.component.milo.client.springboot,23,644,644,1288,2,56.0
camel,test.java.org.apache.camel.component.crypto.cms,1,0,1287,1287,5,1287.0
camel,org.apache.camel.component.disruptor.springboot,36,643,643,1286,6,35.72222222222222
camel,test.java.org.apache.camel.component.sparkrest,2,0,1286,1286,24,643.0
camel,org.apache.camel.component.stitch,13,1258,26,1284,12,98.76923076923077
camel,org.apache.camel.model.rest.springboot,28,618,665,1283,4,45.82142857142857
camel,org.apache.camel.itest.ibatis,10,1202,80,1282,13,128.2
camel,org.apache.camel.component.jetty8,13,615,667,1282,13,98.61538461538461
camel,org.apache.camel.core.xml.scan,5,866,415,1281,2,256.2
camel,org.apache.camel.component.ahc.springboot,35,640,640,1280,6,36.57142857142857
camel,org.apache.camel.component.vertx.common,17,1112,168,1280,16,75.29411764705883
camel,org.apache.camel.component.elasticsearch.springboot,33,478,800,1278,8,38.72727272727273
camel,test.java.org.apache.camel.spring.boot.actuate.endpoint,2,0,1277,1277,14,638.5
camel,org.apache.camel.component.quickfixj.examples.trading,31,1042,231,1273,5,41.064516129032256
camel,org.apache.camel.cluster,24,1045,220,1265,24,52.708333333333336
camel,org.apache.camel.converter.xmlbeans,22,904,361,1265,8,57.5
camel,org.apache.camel.component.aws2.bedrock.agentruntime,6,1242,19,1261,10,210.16666666666666
camel,org.apache.camel.component.infinispan.springboot,33,630,630,1260,3,38.18181818181818
camel,org.apache.camel.component.kamelet.utils.transform,2,1243,12,1255,15,627.5
camel,org.apache.camel.component.docker.it,31,1020,234,1254,9,40.45161290322581
camel,test.java.org.apache.camel.component.ibatis,2,0,1253,1253,18,626.5
camel,org.apache.camel.component.docker.consumer,30,809,444,1253,4,41.766666666666666
camel,org.apache.camel.component.minio.integration,13,1098,154,1252,23,96.3076923076923
camel,org.apache.camel.dataformat.barcode.springboot,30,626,626,1252,6,41.733333333333334
camel,org.apache.camel.component.activemq.converter,25,952,300,1252,7,50.08
