wmc,dit,noc,cbo,rfc,lcom,afferent_coupling,efferent_coupling,instability,file
1,1,0,2,4,0.5,0,2,1.0,core\src\main\java\com\alibaba\druid\proxy\jdbc\PreparedStatementProxy.java
83,1,0,11,477,0.5,0,11,1.0,core\src\main\java\com\alibaba\druid\proxy\jdbc\PreparedStatementProxyImpl.java
1,1,0,1,3,0.5,0,1,1.0,core\src\main\java\com\alibaba\druid\proxy\jdbc\ResultSetMetaDataProxy.java
30,1,0,3,96,0.5,0,3,1.0,core\src\main\java\com\alibaba\druid\proxy\jdbc\ResultSetMetaDataProxyImpl.java
1,1,0,4,26,0.5,0,4,1.0,core\src\main\java\com\alibaba\druid\proxy\jdbc\ResultSetProxy.java
232,1,0,10,810,0.5,0,10,1.0,core\src\main\java\com\alibaba\druid\proxy\jdbc\ResultSetProxyImpl.java
1,0,0,0,1,0.5,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\StatementExecuteType.java
1,1,0,4,19,0.5,0,4,1.0,core\src\main\java\com\alibaba\druid\proxy\jdbc\StatementProxy.java
68,1,0,7,226,0.5,0,7,1.0,core\src\main\java\com\alibaba\druid\proxy\jdbc\StatementProxyImpl.java
2,1,0,0,3,0.5,0,0,0,core\src\main\java\com\alibaba\druid\proxy\jdbc\TransactionInfo.java
1,1,0,2,8,0.5,0,2,1.0,core\src\main\java\com\alibaba\druid\proxy\jdbc\WrapperProxy.java
15,1,0,5,33,0.5,0,5,1.0,core\src\main\java\com\alibaba\druid\proxy\jdbc\WrapperProxyImpl.java
27,1,0,15,555,0.5,0,15,1.0,core\src\main\java\com\alibaba\druid\sql\PagerUtils.java
35,1,0,5,97,0.5,0,5,1.0,core\src\main\java\com\alibaba\druid\sql\SQLDialect.java
239,1,0,70,1214,0.5,0,70,1.0,core\src\main\java\com\alibaba\druid\sql\SQLUtils.java
4,0,0,0,6,0.5,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\AutoIncrementType.java
1,0,0,0,0,0.5,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\ClusteringType.java
1,0,0,0,0,0.5,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\DistributedByType.java
5,1,0,3,12,0.5,0,3,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLAdhocTableSource.java
18,1,0,1,42,0.5,0,1,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLAnnIndex.java
8,1,0,1,16,0.5,0,1,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLArgument.java
29,1,0,7,44,0.5,0,7,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLArrayDataType.java
8,1,0,1,11,0.5,0,1,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLCommentHint.java
7,1,0,1,14,0.5,0,1,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLComputeIncrementalStatsStatement.java
13,1,0,2,33,0.5,0,2,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLCurrentTimeExpr.java
5,1,0,1,12,0.5,0,1,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLCurrentUserExpr.java
3,1,0,2,19,0.5,0,2,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLDataType.java
45,1,0,9,151,0.5,0,9,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLDataTypeImpl.java
8,1,0,1,20,0.5,0,1,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLDataTypeRefExpr.java
1,1,0,1,2,0.5,0,1,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLDbTypedObject.java
18,1,0,4,42,0.5,0,4,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLDeclareItem.java
1,1,0,1,5,0.5,0,1,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLExpr.java
4,1,0,1,17,0.5,0,1,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLExprComparor.java
12,1,0,1,15,0.5,0,1,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLExprImpl.java
1,1,0,0,2,0.5,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLHint.java
1,1,0,2,2,0.5,0,2,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLIndex.java
74,1,0,8,219,0.5,0,8,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLIndexDefinition.java
35,1,0,5,109,0.5,0,5,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLIndexOptions.java
6,1,0,1,4,0.5,0,1,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLJSONValueExpr.java
7,1,0,1,16,0.5,0,1,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLKeep.java
24,1,0,5,86,0.5,0,5,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLLimit.java
28,1,0,7,47,0.5,0,7,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLMapDataType.java
1,1,0,1,6,0.5,0,1,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLName.java
1,0,0,3,23,0.5,0,3,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLObject.java
29,1,0,11,132,0.5,0,11,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLObjectImpl.java
1,1,0,0,3,0.5,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLObjectWithDataType.java
15,1,0,4,54,0.5,0,4,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLOrderBy.java
4,0,0,0,5,0.5,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLOrderingSpecification.java
43,1,0,3,135,0.5,0,3,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLOver.java
43,1,0,3,63,0.5,0,3,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLParameter.java
2,1,0,1,4,0.5,0,1,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLPartition.java
11,1,0,1,19,0.5,0,1,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLPartitionBatch.java
22,1,0,4,55,0.5,0,4,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLPartitionBy.java
7,1,0,1,22,0.5,0,1,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLPartitionByHash.java
6,1,0,1,20,0.5,0,1,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLPartitionByList.java
18,1,0,2,56,0.5,0,2,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLPartitionByRange.java
3,1,0,1,18,0.5,0,1,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLPartitionByValue.java
33,1,0,3,46,0.5,0,3,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLPartitionOf.java
14,1,0,3,51,0.5,0,3,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLPartitionSingle.java
13,1,0,3,30,0.5,0,3,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLPartitionSpec.java
8,1,0,4,22,0.5,0,4,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLPartitionValue.java
8,1,0,4,37,0.5,0,4,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLPivot.java
5,1,0,4,18,0.5,0,4,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLRecordDataType.java
1,0,0,0,2,0.5,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLReplaceable.java
5,1,0,3,6,0.5,0,3,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLResetStatement.java
23,1,0,8,38,0.5,0,8,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLRowDataType.java
7,0,0,0,1,0.5,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\SQLSetQuantifier.java
1,1,0,3,12,0.5,0,3,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLStatement.java
16,1,0,6,31,0.5,0,6,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLStatementImpl.java
39,1,0,9,64,0.5,0,9,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLStructDataType.java
20,1,0,2,40,0.5,0,2,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLSubPartition.java
12,1,0,4,26,0.5,0,4,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLSubPartitionBy.java
8,1,0,1,21,0.5,0,1,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLSubPartitionByHash.java
5,1,0,1,17,0.5,0,1,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLSubPartitionByList.java
5,1,0,4,21,0.5,0,4,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLSubPartitionByRange.java
22,1,0,8,34,0.5,0,8,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLTableDataType.java
18,1,0,2,27,0.5,0,2,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLTop.java
6,1,0,3,16,0.5,0,3,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLUnionDataType.java
10,1,0,4,43,0.5,0,4,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLUnpivot.java
8,1,0,1,17,0.5,0,1,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLWindow.java
15,1,0,4,54,0.5,0,4,1.0,core\src\main\java\com\alibaba\druid\sql\ast\SQLZOrderBy.java
28,1,0,10,179,0.5,0,10,1.0,core\src\main\java\com\alibaba\druid\sql\ast\TDDLHint.java
35,1,0,8,153,0.5,0,8,1.0,core\src\main\java\com\alibaba\druid\sql\ast\expr\SQLAggregateExpr.java
1,0,0,0,1,0.5,0,0,0,core\src\main\java\com\alibaba\druid\sql\ast\expr\SQLAggregateOption.java
15,1,0,7,68,0.5,0,7,1.0,core\src\main\java\com\alibaba\druid\sql\ast\expr\SQLAliasedExpr.java
