afferent_coupling,avg_method_loc,avg_nesting_depth,blank_lines,bug_severity,cbo,code_smells,cognitive_complexity,comment_lines,comment_ratio,cyclomatic_complexity,defect_type,dit,efferent_coupling,file,halstead_difficulty,halstead_volume,has_comments,has_defect,instability,language,lcom,lines_of_code_actual,loc,maintainability_index,max_method_loc,max_nesting_depth,noc,num_bugs,num_classes,num_fields,num_interfaces,num_methods,num_private_methods,num_public_methods,num_static_methods,project,rfc,technical_debt_hours,total_lines,type,wmc
0,7.0,0.75,7,none,0,0,12.0,47,0.6266666666666667,10,none,1,0,core\src\main\java\com\alibaba\druid\filter\mysql8datetime\MySQL8DateTimeSqlTypeFilter.java,0,0,True,0,0.0,java,0.0,21,75,100,17,3,0,0,1,1,0,4,0,4,1,druid,0,0.0,82,comprehensive_java_metrics,1
0,17.0,3.0,4,none,0,0,4.8,15,0.46875,4,none,1,0,core\src\main\java\com\alibaba\druid\filter\stat\MergeStatFilter.java,0,0,True,0,0.0,java,0.0,13,32,100,27,3,0,0,1,2,0,1,0,1,0,druid,0,0.0,36,comprehensive_java_metrics,1
0,11.363636363636363,0.07792207792207792,238,none,0,2,146.4,23,0.025612472160356347,122,none,1,0,core\src\main\java\com\alibaba\druid\filter\stat\StatFilter.java,0,0,True,0,0.0,java,0.0,637,898,100,21,6,0,0,1,160,0,77,4,59,1,druid,0,0.0,1136,comprehensive_java_metrics,1
0,5.722222222222222,0.16666666666666666,23,none,0,2,18.0,15,0.1271186440677966,15,none,0,0,core\src\main\java\com\alibaba\druid\filter\stat\StatFilterContext.java,0,0,True,0,0.0,java,0.0,80,118,100,15,3,0,0,1,18,0,18,0,17,0,druid,0,0.0,141,comprehensive_java_metrics,1
0,17.0,1.0,15,none,0,0,1.2,15,0.46875,1,none,1,0,core\src\main\java\com\alibaba\druid\filter\stat\StatFilterContextListener.java,0,0,True,0,0.0,java,0.0,2,32,50.0,27,1,0,0,0,0,1,0,0,0,0,druid,0,0,47,comprehensive_java_metrics,0
3,3.2142857142857144,0.14285714285714285,16,none,3,1,1.2,15,0.25,1,none,0,3,core\src\main\java\com\alibaba\druid\filter\stat\StatFilterContextListenerAdapter.java,0,0,True,0,0.17647058823529413,java,0.0,29,60,100,13,2,0,0,1,0,0,14,0,14,0,druid,0,0.0,76,comprehensive_java_metrics,1
0,10.0,1.0,8,none,0,0,1.2,18,0.6428571428571429,1,none,1,0,core\src\main\java\com\alibaba\druid\filter\stat\StatFilterMBean.java,0,0,True,0,0.0,java,0.0,2,28,50.0,20,1,0,0,0,0,1,0,0,0,0,druid,0,0,36,comprehensive_java_metrics,0
0,4.818181818181818,0.18181818181818182,16,none,0,1,1.2,15,0.22058823529411764,1,none,0,0,core\src\main\java\com\alibaba\druid\mock\MockArray.java,0,0,True,0,0.0,java,0.0,37,68,100,14,2,0,0,1,7,0,11,0,11,0,druid,0,0.0,84,comprehensive_java_metrics,1
0,5.0,0.18181818181818182,15,none,0,1,1.2,15,0.21428571428571427,1,none,0,0,core\src\main\java\com\alibaba\druid\mock\MockBlob.java,0,0,True,0,0.0,java,0.0,40,70,100,15,2,0,0,1,10,0,11,0,11,0,druid,0,0.0,85,comprehensive_java_metrics,1
0,4.553571428571429,0.026785714285714284,137,none,0,2,13.2,15,0.02857142857142857,11,none,1,0,core\src\main\java\com\alibaba\druid\mock\MockCallableStatement.java,0,0,True,0,0.0,java,0.0,373,525,100,14,3,0,0,1,20,0,112,0,112,0,druid,0,0.0,662,comprehensive_java_metrics,1
0,5.153846153846154,0.23076923076923078,19,none,0,1,2.4,15,0.18292682926829268,2,none,0,0,core\src\main\java\com\alibaba\druid\mock\MockClob.java,0,0,True,0,0.0,java,0.0,48,82,100,15,3,1,0,1,10,0,13,0,13,0,druid,0,0.0,101,comprehensive_java_metrics,1
