loc,file
41,x-pack\qa\multi-project\yaml-test-framework\src\main\java\org\elasticsearch\multiproject\test\MultipleProjectsClientYamlSuiteTestCase.java
71,x-pack\qa\multi-project\xpack-rest-tests-with-multiple-projects\src\yamlRestTest\java\org\elasticsearch\multiproject\test\XpackWithMultipleProjectsClientYamlTestSuiteIT.java
68,x-pack\qa\multi-project\core-rest-tests-with-multiple-projects\src\yamlRestTest\java\org\elasticsearch\multiproject\test\CoreWithMultipleProjectsClientYamlTestSuiteIT.java
116,x-pack\qa\multi-node\src\javaRestTest\java\org\elasticsearch\multi_node\GlobalCheckpointSyncActionIT.java
326,x-pack\qa\multi-node\src\javaRestTest\java\org\elasticsearch\multi_node\RollupIT.java
69,x-pack\qa\multi-cluster-search-security\legacy-with-restricted-trust\src\test\java\org\elasticsearch\xpack\remotecluster\LegacyRemoteClusterSecuritySmokeIT.java
52,x-pack\qa\multi-cluster-search-security\legacy-with-full-license\src\test\java\org\elasticsearch\xpack\security\MultiClusterSearchWithSecurityYamlTestSuiteIT.java
52,x-pack\qa\multi-cluster-search-security\legacy-with-basic-license\src\test\java\org\elasticsearch\xpack\security\MultiClusterSearchWithSecurityYamlTestSuiteIT.java
18,x-pack\qa\mixed-tier-cluster\src\javaRestTest\java\org\elasticsearch\mixed\DataTierMixedIT.java
280,x-pack\qa\kerberos-tests\src\javaRestTest\java\org\elasticsearch\xpack\security\authc\kerberos\KerberosAuthenticationIT.java
425,x-pack\qa\kerberos-tests\src\javaRestTest\java\org\elasticsearch\xpack\security\authc\kerberos\SpnegoHttpClientConfigCallbackHandler.java
49,x-pack\qa\full-cluster-restart\src\javaRestTest\java\org\elasticsearch\xpack\restart\AbstractXpackFullClusterRestartTestCase.java
46,x-pack\qa\full-cluster-restart\src\javaRestTest\java\org\elasticsearch\xpack\restart\CoreFullClusterRestartIT.java
979,x-pack\qa\full-cluster-restart\src\javaRestTest\java\org\elasticsearch\xpack\restart\FullClusterRestartIT.java
116,x-pack\qa\full-cluster-restart\src\javaRestTest\java\org\elasticsearch\xpack\restart\MlConfigIndexMappingsFullClusterRestartIT.java
168,x-pack\qa\full-cluster-restart\src\javaRestTest\java\org\elasticsearch\xpack\restart\MlHiddenIndicesFullClusterRestartIT.java
226,x-pack\qa\full-cluster-restart\src\javaRestTest\java\org\elasticsearch\xpack\restart\MlMigrationFullClusterRestartIT.java
241,x-pack\qa\full-cluster-restart\src\javaRestTest\java\org\elasticsearch\xpack\restart\MLModelDeploymentFullClusterRestartIT.java
42,x-pack\qa\full-cluster-restart\src\javaRestTest\java\org\elasticsearch\xpack\restart\QueryBuilderBWCIT.java
206,x-pack\qa\evil-tests\src\test\java\org\elasticsearch\xpack\security\authc\kerberos\KerberosTestCase.java
157,x-pack\qa\evil-tests\src\test\java\org\elasticsearch\xpack\security\authc\kerberos\KerberosTicketValidatorTests.java
288,x-pack\qa\evil-tests\src\test\java\org\elasticsearch\xpack\security\authc\kerberos\SimpleKdcLdapServer.java
84,x-pack\qa\evil-tests\src\test\java\org\elasticsearch\xpack\security\authc\kerberos\SimpleKdcLdapServerTests.java
283,x-pack\qa\evil-tests\src\test\java\org\elasticsearch\xpack\security\authc\kerberos\SpnegoClient.java
77,x-pack\qa\core-rest-tests-with-security\src\yamlRestTest\java\org\elasticsearch\xpack\security\CoreWithSecurityClientYamlTestSuiteIT.java
628,x-pack\plugin\write-load-forecaster\src\test\java\org\elasticsearch\xpack\writeloadforecaster\LicensedWriteLoadForecasterTests.java
226,x-pack\plugin\write-load-forecaster\src\main\java\org\elasticsearch\xpack\writeloadforecaster\LicensedWriteLoadForecaster.java
60,x-pack\plugin\write-load-forecaster\src\main\java\org\elasticsearch\xpack\writeloadforecaster\WriteLoadForecasterPlugin.java
252,x-pack\plugin\write-load-forecaster\src\internalClusterTest\java\org\elasticsearch\xpack\writeloadforecaster\WriteLoadForecasterIT.java
37,x-pack\plugin\wildcard\src\yamlRestTest\java\org\elasticsearch\xpack\wildcard\WildcardClientYamlTestSuiteIT.java
85,x-pack\plugin\wildcard\src\test\java\org\elasticsearch\xpack\wildcard\mapper\TermsQueryTests.java
144,x-pack\plugin\wildcard\src\test\java\org\elasticsearch\xpack\wildcard\mapper\WildcardFieldAggregationTests.java
69,x-pack\plugin\wildcard\src\test\java\org\elasticsearch\xpack\wildcard\mapper\WildcardFieldBlockLoaderTests.java
1280,x-pack\plugin\wildcard\src\test\java\org\elasticsearch\xpack\wildcard\mapper\WildcardFieldMapperTests.java
40,x-pack\plugin\wildcard\src\test\java\org\elasticsearch\xpack\wildcard\mapper\WildcardFieldTypeTests.java
23,x-pack\plugin\wildcard\src\main\java\module-info.java
27,x-pack\plugin\wildcard\src\main\java\org\elasticsearch\xpack\wildcard\Wildcard.java
18,x-pack\plugin\wildcard\src\main\java\org\elasticsearch\xpack\wildcard\WildcardDocValuesField.java
37,x-pack\plugin\wildcard\src\main\java\org\elasticsearch\xpack\wildcard\WildcardPainlessExtension.java
378,x-pack\plugin\wildcard\src\main\java\org\elasticsearch\xpack\wildcard\mapper\BinaryDvConfirmedQuery.java
1173,x-pack\plugin\wildcard\src\main\java\org\elasticsearch\xpack\wildcard\mapper\WildcardFieldMapper.java
153,x-pack\plugin\wildcard\src\internalClusterTest\java\org\elasticsearch\xpack\wildcard\search\WildcardSearchIT.java
35,x-pack\plugin\watcher\src\yamlRestTest\java\org\elasticsearch\smoketest\WatcherYamlRestIT.java
54,x-pack\plugin\watcher\src\yamlRestTest\java\org\elasticsearch\smoketest\WatcherYamlRestWithSecurityIT.java
153,x-pack\plugin\watcher\src\yamlRestTest\java\org\elasticsearch\smoketest\WatcherYamlSuiteTestCase.java
38,x-pack\plugin\watcher\src\test\java\org\elasticsearch\xpack\watcher\EncryptSensitiveDataBootstrapCheckTests.java
752,x-pack\plugin\watcher\src\test\java\org\elasticsearch\xpack\watcher\WatcherIndexingListenerTests.java
173,x-pack\plugin\watcher\src\test\java\org\elasticsearch\xpack\watcher\WatcherInfoTransportActionTests.java
726,x-pack\plugin\watcher\src\test\java\org\elasticsearch\xpack\watcher\WatcherLifeCycleServiceTests.java
92,x-pack\plugin\watcher\src\test\java\org\elasticsearch\xpack\watcher\WatcherMetadataSerializationTests.java
144,x-pack\plugin\watcher\src\test\java\org\elasticsearch\xpack\watcher\WatcherPluginTests.java
382,x-pack\plugin\watcher\src\test\java\org\elasticsearch\xpack\watcher\WatcherServiceTests.java
307,x-pack\plugin\watcher\src\test\java\org\elasticsearch\xpack\watcher\actions\ActionWrapperTests.java
75,x-pack\plugin\watcher\src\test\java\org\elasticsearch\xpack\watcher\condition\AlwaysConditionTests.java
271,x-pack\plugin\watcher\src\test\java\org\elasticsearch\xpack\watcher\condition\ArrayCompareConditionTests.java
289,x-pack\plugin\watcher\src\test\java\org\elasticsearch\xpack\watcher\condition\CompareConditionTests.java
53,x-pack\plugin\watcher\src\test\java\org\elasticsearch\xpack\watcher\condition\NeverConditionTests.java
285,x-pack\plugin\watcher\src\test\java\org\elasticsearch\xpack\watcher\condition\ScriptConditionTests.java
1279,x-pack\plugin\watcher\src\test\java\org\elasticsearch\xpack\watcher\execution\ExecutionServiceTests.java
507,x-pack\plugin\watcher\src\test\java\org\elasticsearch\xpack\watcher\execution\TriggeredWatchStoreTests.java
284,x-pack\plugin\watcher\src\test\java\org\elasticsearch\xpack\watcher\history\HistoryStoreTests.java
42,x-pack\plugin\watcher\src\test\java\org\elasticsearch\xpack\watcher\input\InputRegistryTests.java
284,x-pack\plugin\watcher\src\test\java\org\elasticsearch\xpack\watcher\notification\NotificationServiceTests.java
118,x-pack\plugin\watcher\src\test\java\org\elasticsearch\xpack\watcher\notification\WebhookServiceTests.java
262,x-pack\plugin\watcher\src\test\java\org\elasticsearch\xpack\watcher\support\FilterXContentTests.java
58,x-pack\plugin\watcher\src\test\java\org\elasticsearch\xpack\watcher\support\VariablesTests.java
