package,loc,lloc,sloc,comments,blank,file_count
org.apache.kafka.streams.errors,839,839,839,1278,287,34
org.apache.kafka.streams.errors.internals,156,156,156,77,35,3
org.apache.kafka.streams.examples.docs,136,136,136,22,27,1
org.apache.kafka.streams.examples.pageview,272,272,272,118,68,3
org.apache.kafka.streams.examples.pipe,36,36,36,29,11,1
org.apache.kafka.streams.examples.temperature,62,62,62,51,17,1
org.apache.kafka.streams.examples.wordcount,440,440,440,185,98,6
org.apache.kafka.streams.integration,27618,27618,27618,2244,4543,81
org.apache.kafka.streams.integration.utils,1363,1363,1363,433,168,3
org.apache.kafka.streams.internals,517,517,517,154,131,8
org.apache.kafka.streams.internals.metrics,658,658,658,134,142,8
org.apache.kafka.streams.kstream,4666,4666,4666,10381,1250,73
org.apache.kafka.streams.kstream.internals,32036,32036,32036,5632,5862,168
org.apache.kafka.streams.kstream.internals.emitstrategy,16,16,16,38,7,2
org.apache.kafka.streams.kstream.internals.foreignkeyjoin,3248,3248,3248,463,607,20
org.apache.kafka.streams.kstream.internals.graph,2458,2458,2458,629,541,33
org.apache.kafka.streams.kstream.internals.suppress,1125,1125,1125,255,229,12
org.apache.kafka.streams.processor,1034,1034,1034,1676,326,31
org.apache.kafka.streams.processor.api,653,653,653,1059,195,18
org.apache.kafka.streams.processor.assignment,1122,1122,1122,570,213,10
org.apache.kafka.streams.processor.assignment.assignors,381,381,381,41,71,2
org.apache.kafka.streams.processor.internals,57333,57333,57333,6146,10855,165
org.apache.kafka.streams.processor.internals.assignment,14416,14416,14416,1464,2232,55
org.apache.kafka.streams.processor.internals.metrics,3944,3944,3944,220,528,12
org.apache.kafka.streams.processor.internals.namedtopology,462,462,462,250,96,6
org.apache.kafka.streams.processor.internals.tasks,1124,1124,1124,275,299,7
org.apache.kafka.streams.processor.internals.testutil,46,46,46,35,12,2
org.apache.kafka.streams.query,1089,1089,1089,923,310,23
org.apache.kafka.streams.query.internals,138,138,138,160,47,4
org.apache.kafka.streams.state,2050,2050,2050,2485,495,40
org.apache.kafka.streams.state.internals,48898,48898,48898,6920,8793,260
org.apache.kafka.streams.state.internals.metrics,3479,3479,3479,204,421,12
org.apache.kafka.streams.test,684,684,684,164,137,5
org.apache.kafka.streams.test.wordcount,167,167,167,48,39,2
org.apache.kafka.streams.tests,24023,24023,24023,2651,4600,126
org.apache.kafka.streams.utils,300,300,300,61,68,2
org.apache.kafka.test,4744,4744,4744,1232,1005,55
org.apache.kafka.tiered.storage,804,804,804,101,123,5
org.apache.kafka.tiered.storage.actions,1035,1035,1035,407,228,22
org.apache.kafka.tiered.storage.integration,901,901,901,539,182,19
org.apache.kafka.tiered.storage.specs,277,277,277,246,88,13
org.apache.kafka.tiered.storage.utils,473,473,473,186,69,5
